Movies,Genre1,Genre3
The Big Bull,Crime,
Tadap,Romance,Action
Chhichhore,Comedy,
Baaghi 3,Action,
Baby,Action,
Eternals,Adventure,Action
Veerappan,Action,
Entha Manchivaadavuraa,Action,
Tumi Ashbe Bole,Romance,
Baadshaho,Action,
Atrangi Re,Romance,
Housefull 4,Comedy,
The Ice-Man,Comedy,
Mission Mangal,Science Fiction,
Encanto,Fantasy,Musical
Tanhaji,,Historical Drama
Akhanda,Action,
Hubble's Amazing Universe,Science,
Aftermath,Thriller,
Bangalore Days,Romance,
Shang-Chi and The Legend of The Ten Rings,Superhero,Action
Anbudan Appavukku,Action,
Total Dhamaal,Comedy,
Super 30,Biopic,
Shiddat,Romance,
Badhaai Ho,Comedy,
Gaddalakonda Ganesh,Action,
Jawaan,Action,
Brahma Janen Gopon Kommoti,Drama,
Comali,Comedy,
Bhuj: The Pride of India,Action,Historical Drama
Raid,Crime,
Jungle Cruise,Action,Adventure
Oozham - It's Just A Matter Of Time,Action,
Chaddi,Romance,Comedy
Baahubali 2: The Conclusion,Action,Fantasy
Sahaj Paather Gappo,Drama,
Hum Do Hamare Do,Comedy,
Sab Theek Hain,Drama,
Bro Daddy,Family,Comedy
The Proposal,Romance,
Maatr,Thriller,
Farzand,Drama,Historical Drama
Dinosaur,Animation,Fantasy
Judwaa 2,Comedy,
MCA Middle Class Abbayi,Action,
India’s Most Wanted,Action,
Avengers: Endgame,Superhero,Action
Inside Tirumala Tirupati,Documentary,
Aadat,Romance,
Junglee,Action,
Geetha Govindam,Romance,
Sanak,Action,
Ek Lift Story,Comedy,Romance
Exes,Comedy,
De De Pyaar De,Comedy,
Prati Roju Pandage,Comedy,
Doctor Strange,Superhero,Action
Girlfriend,Romance,
I Am Pregnant,Drama,
Plan Panni Pannanum,Comedy,Romance
Bala,Comedy,
Kunjiramayanam,Comedy,
Bhoot Police,Horror,Comedy
Vikram Vedha,Thriller,
1232 KMs,Documentary,
Dishoom,Action,
Avengers: Infinity War,Superhero,Action
Baahubali - The Beginning,Action,Fantasy
Sagodharargal,Action,
Himmat,Action,
Pardon,Drama,
The Ice Age Adventures of Buck Wild,Family,Adventure
Angrezi Medium,Drama,
Marvel's The Avengers,Superhero,Action
Devi,Drama,
Helicopter Eela,Drama,
Ispade Rajavum Idhaya Raniyum,Romance,
Marvel's Avengers: Age Of Ultron,Superhero,Action
Hero,Romance,
Legends of Jagannath Puri,Documentary,
Raavan,Thriller,
Raya and the Last Dragon,Animation,Fantasy
Bajrangi Bhaijaan,Drama,
Johny Johny Yes Appa,Comedy,
Me Time,Romance,
Akira,Action,
Thor: Ragnarok,Superhero,Action
Dombivli Return,Thriller,
S/o Satyamurthy,Action,Romance
