movie_name,Box Office India,Genre1,Genre3,movie_director,actor1,actor2,actor3
Angrezi Medium,9.36,Drama, Comedy,Homi Adajania,ÊIrrfan Khan , Radhika Madan, Kareena Kapoor
Baaghi 3,93.37,Action,,Ahmed Khan,ÊTiger Shroff , Shraddha Kapoor, Riteish Deshmukh
Thappad,30.61,Drama, Social,Anubhav Sinha,ÊTaapsee Pannu , Pavail Gulati, Dia Mirza
Shubh Mangal Zyada Saavdhan,62.78,Comedy, Romance,Hitesh Kewalya,ÊAyushman Khurana , Jitendra Kumar, Gajraj Rao
Bhoot: Part One - The Haunted Ship,31.97,Horror,,Bhanu Pratap Singh,ÊVicky Kaushal , Bhumi Pednekar, Ashutosh Rana
Love Aaj Kal,34.99,Romance,,Imtiaz Ali,ÊKartik Aaryan , Sara Ali Khan, Arushi Sharma
Malang,58.04,Romance, Action,Mohit Suri,ÊAditya Roy Kapur , Disha Patani, Anil Kapoor
Shikara,7.95,Drama, Romance,Vidhu Vinod Chopra,ÊSadia , Aadil Khan,
Jawaani Jaaneman,27.91,Comedy, Drama,Nitin Kakkar,ÊSaif Ali Khan , Alaya F, Tabu
Panga,25.64,Sports, Drama,Ashwiny Iyer Tiwari,ÊKangana Ranaut , Jassie Gill, Richa Chadda
Street Dancer 3D,74.22,Dance,,Remo D'Souza,ÊVarun Dhawan , Shraddha Kapoor, Prabhu Deva
Tanhaji: The Unsung Warrior,276.9,Historical Drama, Action,Om Raut,ÊAjay Devgn , Saif Ali Khan, Kajol
Chhapaak,32.48,Drama,,Meghna Gulzar,ÊDeepika Padukone , Vikrant Massey, Madhurjeet Sarghi
Good Newwz,201.14,Comedy,,Raj Mehta,ÊAkshay Kumar , Kareena Kapoor, Diljit Dosanjh
Dabangg 3,145.9,Action,,Prabhu Deva,ÊSalman Khan , Sonakshi Sinha, Saiee M Manjrekar
Mardaani 2,47.51, Thriller, Action,Gopi Puthran,ÊRani Mukherjee , Vishal Jethwa, Shruti Bapna
Pati Patni Aur Woh,86.77,Comedy,,Mudassar Aziz,ÊKartik Aaryan , Bhumi Pednekar, Ananya Panday
Panipat,34.28,Historical Drama, Action,Ashutosh Gowariker,ÊSanjay Dutt , Arjun Kapoor, Kriti Sanon
Commando 3,32.44,Action,,Aditya Datt,ÊVidyut Jamwal , Adah Sharma, Angira Dhar
Marjaavaan,48.37,Action, Romance,Milap Zaveri,ÊSiddharth Malhotra , Riteish Deshmukh, Tara Sutaria
Bala,115.28,Comedy,,Amar Kaushik,ÊAyushman Khurana , Bhumi Pednekar, Yami Gautam
Ujda Chaman,12,Comedy, Drama,Abhishek Pathak,ÊSunny Singh Nijjar , Maanvi Gagroo, Saurabh Shukla
Housefull 4,194.59,Comedy,,Farhad Samji,ÊAkshay Kumar , Riteish Deshmukh, Bobby Deol
Saand Ki Aankh,23.39,Biographical,,Tushar Hiranandani,ÊTaapsee Pannu , Bhumi Pednekar, Prakash Jha
The Sky Is Pink,20.03,Biographical,,Shonali Bose,ÊPriyanka Chopra , Farhan Akhtar, Zaira Wasim
Sye Raa Narasimha Reddy,2.6,Historical Drama, Action,Surender Reddy,ÊChiranjeevi , Amitabh Bachchan, Nayanthara
War,318.01,Action, Thriller,Siddharth Anand,ÊHrithik Roshan , Tiger Shroff, Vaani Kapoor
